text,file
"DATE DU DÉCÈS DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS, PRÉNOMS DROITS DE SUCCESSION DATE OBSERVATIONS NOM, PRÉNOMS MUTATIONS PAR DÉCÈS DIRECTES NUMÉROS  ACTE PARIS DÉCRET VALEUR",18
"DATE DU DÉCÈS ou DÉCLARATION D'ABSENCE DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES. NOMS, PRÉNOMS NOM PRÉNOM DOMICILE NOMS, PRÉNOMS DROITS DE SUCCESSION ou DÉCLARATION D'ABSENCE DROIT DE MUTATION EN LIGNE DIRECTE VALEUR NUMÉROS DATE RÉCETTE OBSERVATIONS ACTIF PASSIF EXCÉDANT NET DÉCLARATION D'IMPÔT DÉCISION DE RÉDUCTION DÉCISION DE DÉGRÈVEMENT RÉCETTE DES FINANCES RÉCETTE DES IMPÔTS DATE Les déclarations de mutation par décès et les déclarations de mutation en ligne directe, sont enregistrées, s'il y a lieu, dans les bureaux de l'enregistrement. 6 18e 2e sept. 1926 Laboureau Louis Tulle 6 mois Laboureau Louis a autres Déclaration de mutation 491 497 6 19e 2e sept. 1926 Deches Jules Tulle 10 sept. 1926 Sergei Gustave autres 502 503 504 506 509 6 19e 2e sept. 1926 Félixau Louis Tulle 4 mois Schmitt Louis autres 510 512 514 519 6 19e 2e sept. 1926 Dubois Alexandre Tulle 10 sept. 1926 Dubois Jean fils autres 520 530 540 560 599 6 19e 2e sept. 1926 Remience Jean Tulle 10 sept. 1926 Remience Jeanne 600 606 609",19
"DATE DE DECES ou DISPARITION DATE DE DEPOT DESIGNATION DES PERSONNES DECEDES OU ABSENTES NOMS, PRENOMS DATE DE NAISSANCE LIEU DE NAISSANCE NOMS, PRENOMS DOMICILE DATE DE L'ACTE NATURE DE L'ACTE NUMEROS DATE RECEPTE OBSERVATIONS",8
"DATE DE DECES ou DECLARATION D'ABSENCE DESIGNATION DES PERSONNES DECEDÉES OU ABSENTES NOMS, PRÉNOMS DATE DE RÉCÉP. de la déclaration d'absence NOMS, PRÉNOMS DOMICILES DROITS DE SUCCESSION MUTATIONS EN LIGNE DIRECTE ACTE PARIS ENREGIST. N° DROIT en principal DROIT supplémentaire VALEUR DATE NUMÉROS REÇU RECEVRE DATE OBSERVATIONS 6 4395 Quatreboeufs Knops Domicile: Bruxelles Nicolas décédé 7 juillet 1919 Société le trois décembre 1919 Bruxelles 6 440 Cinq Sols Despalque Eugène Domicile: Paris décédé 7 juillet 1919 Société le cinq décembre 1919 Paris 6 441 Six Jaegmin Berthe Domicile: Paris décédée 7 juillet 1919 Société le six décembre 1919 Paris 6 442 Neuf Vournue Elie Domicile: Paris décédé 7 juillet 1919 Société le sept décembre 1919 Bruxelles 6 443 Neuf de Laleine Emile Domicile: Paris décédé 7 juillet 1919 Société le huit décembre 1919 Bruxelles 6 444 Neuf Heumels Alphonse Domicile: Paris décédé 7 juillet 1919 Société le dix décembre 1919 Bruxelles 6 445 Neuf Goisse Domicile: Paris décédé 7 juillet 1919 Société le onze décembre 1919 Bruxelles",9
DATE DU DEPOT DESIGNATION DES PERSONNES DECEDES OU ABSENTES NOM PRENOMS DROITS DE SUCCESSION NUMEROS DATE RECETTE OBSERVATIONS NOM PRENOMS DOMICILE DATE DE DECES ACTIF PASSIF SUBSISTE NET  Gayot Antoine Paris (7e arrt) 1891 16918 5233 11685 12 Aout 1891 10 Sept 1891  Saulus Jules Paris (7e arrt) 1891 4975 0 4975 10 Sept 1891  Vandermeers Henri Paris (7e arrt) 1891 500 0 500 16 Dec 1891 non familier  Lemoine Henri Paris (7e arrt) 1891 1175 1175 0 12 Aout 1891 non familier  Hommaye Jules Paris (7e arrt) 1891 0 0 0 4 Sept 1891 d'apres 1911  de Godeau Saintane Paris (7e arrt) 1891 100 0 100 12 Dec 1891 non familier  Fontaine Henri Paris (7e arrt) 1891 298 298 0 19 Dec 1891 non familier  Allard Henri Paris (7e arrt) 1891 4980 0 4980 10 Juin 1892 non familier  Delutte Jules Paris (7e arrt) 1891 11675 11675 0 20 Mars 1892 30 Sept 1892,1
"DATE DE DÉCÈS ou de la déclaration de l'absence DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS, PRÉNOMS NOM, PRÉNOMS DOMICILE DATE DE L'ACTE ou de la déclaration de l'absence INDICATION DE LA PARTIE RÉCLAMÉE DROITS DE SUCCESSION TAXES DES ACTES DE DÉCLARATION DE SUCCESSION MUTATIONS À TITRE DIRECTE NUMÉRO DATE RECETTE CANTON OBSERVATIONS Actif Passif Net Valeur DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE DATE NATURE",0
"DATE DE DÉPÔT DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS, PRÉNOMS DROITS DE SUCCESSION NUMÉROS DATE RECETTE OBSERVATIONS NOM PRÉNOM DOMICILE DATE DE DÉCÈS LIEU DE DÉCÈS NOM PRÉNOM MUTATION À TITRE DIRECTE VALEUR ACTE PAGES REGISTRE NET BRUT DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉRO DATE NUMÉ",2
"DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS, PRÉNOMS DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉNOMS DOMICILE DATE DE DÉCÈS NOMS, PRÉN",3
"DATE DE DÉCÈS ou DISPARITION DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS, PRÉNOMS DATE DE L'ACTE ou DU JUGEMENT NOMS, PRÉNOMS DROITS DE SUCCESSION DROIT DE MUTATION EN LIGNE DIRECTE VARIABLE NUMÉROS DATE OBSERVATIONS Société le vingt-neuf novembre 1919 Conseil 429 430 431 432 433 434 435 436 437 438 439 Beth Huart Romain Poliart Poliart Houtmeyers Thibaut Gausin Delannoy Delatte Louis Jean Félicie Léon Scholast Henri Eloi Ernest Louis Félix Otter Fils Félicie Léon Scholast Henri Marie Ernest Fils Ernest Fils Huart Louis Huart Joseph Romain Louis Poliart Léonie Poliart Léonie Houtmeyers Thibaut Louis Gausin Delannoy Adrien Delatte Adolphe Société le vingt-neuf novembre 1919 Conseil",7
"DATE DE DÉCÈS ou DÉCLARATION DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS, PRÉNOMS DATE DE RÉGIE ou DÉCLARATION NOMS, PRÉNOMS Domicile Domicile des parties intéressées DROITS DE SUCCESSION NUMÉROS DATE OBSERVATIONS Mutation en ligne directe ACTE PARTIE RESTANT DÛ VALEUR DATE REÇU DATE 146 Christophe Euyer Charles Louis Désiré Van Callet Fabienne et autres 54850 1411 13102 28 Août 1919 16 Août 1919 147 de Saint Jean Masson Jean Désiré 19 Boÿer Alex Elisée 2906 1411 12220 7-11-19 19 148 investigateur Seblicq Jean Félix Rousmont 19 Boÿer Alex Elisée et autres 19010 356 5260 149 Bouglignaud Basset Emmanuel Grosset 19 Boÿer Jean Tomlin et autres 4541 1235 1212 6 Janvier 1919 1919 150 Hegelart Laurent 19 Boÿer Hegart Elisée et autres 4358 1458 3911",6
"DATE DE DECES DESIGNATION DES PERSONNES DECEDEES OU ABSENTES NOMS, PRENOMS DROITS DE SUCCESSION DATE OBSERVATIONS               NOM, PRENOM ACTE, PARISH, INTERET NUMEROS DATE RECU               MUTATION A LIGNE DIRECTE VALEUR  1919 Hemans Charles Otto 5885 249 5885 30 30 30 30",4
"DATE DU DÉPÔT: 6 NUMÉRO: 150 NOMS: Lambert PRÉNOMS: Clémentine DOMICILE: Nivelles DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: Grégoire Clémentine veuve Lambert DATE DU DÉPÔT: 6 NUMÉRO: 151 NOMS: Leveau PRÉNOMS: Josephine DOMICILE: Chateauroux DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: Joseph Leveau et consorts DATE DU DÉPÔT: 6 NUMÉRO: 152 NOMS: Vanpee PRÉNOMS: Marie DOMICILE: 29 Rue de la DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: non familier DATE DU DÉPÔT: 6 NUMÉRO: 153 NOMS: Delabij PRÉNOMS: Joseph DOMICILE: Charleroi DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: Josephine Delabij veuve Marie DATE DU DÉPÔT: 6 NUMÉRO: 153 bis NOMS: Chevalier PRÉNOMS: Rochon DOMICILE: Nivelles DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: Paul Jules et bien DATE DU DÉPÔT: 6 NUMÉRO: 154 NOMS: Froment PRÉNOMS: Georges DOMICILE: Nivelles DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: non familier DATE DU DÉPÔT: 6 NUMÉRO: 155 NOMS: Devos PRÉNOMS: Jean DOMICILE: Bruxelles DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: non familier DATE DU DÉPÔT: 6 NUMÉRO: 156 NOMS: Seolas PRÉNOMS: Jean Joseph DOMICILE: Bruxelles DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: Seolas Jules et autres DATE DU DÉPÔT: 6 NUMÉRO: 157 NOMS: Desfalque PRÉNOMS: Clémentine DOMICILE: Nivelles DATE DU DÉCÈS: 1924 NOMS, PRÉNOMS: Desfalque Clémentine",5
